INSERT INTO d_entry (entry_id, part_id, container_qty, pieces_qty, price, time, cust_id, invoice_no)
('26', '3', '19', '15', '795000.0', '2021-02-05 03:25:27', '65', 'INV00026'),
('27', '5', '43', '20', '637840.0', '2021-02-05 23:13:45', '59', 'INV00027'),
('28', '1', '30', '39', '1499100.0', '2021-02-07 16:19:52', '76', 'INV00028'),
('29', '6', '9', '22', '234500.0', '2021-02-07 18:12:52', '58', 'INV00029'),
('30', '7', '34', '34', '1196800.0', '2021-02-08 10:32:57', '43', 'INV00030'),
('31', '5', '47', '27', '703290.0', '2021-02-09 12:51:59', '66', 'INV00031'),
('32', '9', '23', '35', '375000.0', '2021-02-10 07:59:21', '27', 'INV00032'),
('33', '3', '18', '29', '975000.0', '2021-02-10 15:10:19', '16', 'INV00033'),
('34', '9', '30', '25', '437500.0', '2021-02-13 01:08:21', '59', 'INV00034'),
('35', '7', '32', '12', '1062400.0', '2021-02-13 08:28:14', '21', 'INV00035'),
('36', '2', '27', '9', '2204100.0', '2021-02-14 06:30:34', '6', 'INV00036'),
('37', '10', '14', '40', '252800.0', '2021-02-15 22:20:59', '48', 'INV00037'),
('38', '9', '46', '7', '592500.0', '2021-02-17 05:28:02', '25', 'INV00038'),
('39', '4', '14', '6', '114000.0', '2021-02-17 16:18:48', '10', 'INV00039'),
('40', '2', '6', '2', '489800.0', '2021-02-18 02:07:04', '79', 'INV00040'),
('41', '8', '42', '44', '1004260.0', '2021-02-23 20:50:15', '21', 'INV00041'),
('42', '5', '48', '16', '704480.0', '2021-02-25 01:41:53', '23', 'INV00042'),
('43', '9', '3', '30', '112500.0', '2021-02-26 10:44:37', '60', 'INV00043'),
('44', '7', '3', '2', '102400.0', '2021-02-26 15:30:02', '76', 'INV00044'),
('45', '4', '25', '21', '219000.0', '2021-03-04 15:37:37', '33', 'INV00045'),
('46', '7', '9', '33', '393600.0', '2021-03-05 05:44:31', '43', 'INV00046'),
('47', '10', '8', '36', '154840.0', '2021-03-07 04:56:03', '74', 'INV00047'),
('48', '10', '33', '42', '554580.0', '2021-03-09 08:30:58', '91', 'INV00048'),
('49', '7', '15', '11', '515200.0', '2021-03-11 17:49:37', '72', 'INV00049'),
('50', '8', '17', '26', '418690.0', '2021-03-12 04:34:11', '82', 'INV00050'),
('51', '1', '40', '11', '1920900.0', '2021-03-13 07:13:28', '62', 'INV00051'),
('52', '4', '33', '49', '321000.0', '2021-03-14 11:57:18', '27', 'INV00052'),
('53', '2', '49', '1', '3878900.0', '2021-03-16 23:11:26', '83', 'INV00053'),
('54', '3', '38', '39', '1725000.0', '2021-03-17 23:59:45', '56', 'INV00054'),
('55', '3', '38', '25', '1515000.0', '2021-03-19 09:32:33', '85', 'INV00055'),
('56', '6', '21', '2', '374500.0', '2021-03-19 16:36:10', '97', 'INV00056'),
('57', '9', '50', '10', '650000.0', '2021-03-20 11:52:18', '84', 'INV00057'),
('58', '1', '13', '40', '693500.0', '2021-03-20 15:17:19', '11', 'INV00058'),
('59', '3', '10', '46', '990000.0', '2021-03-21 02:23:32', '49', 'INV00059'),
('60', '6', '34', '42', '742000.0', '2021-03-22 05:27:48', '83', 'INV00060'),
('61', '5', '31', '3', '446250.0', '2021-03-23 07:09:19', '85', 'INV00061'),
('62', '9', '41', '20', '562500.0', '2021-03-25 00:40:34', '89', 'INV00062'),
('63', '2', '18', '7', '1477300.0', '2021-03-28 10:05:33', '34', 'INV00063'),
('64', '1', '5', '18', '271700.0', '2021-04-01 07:06:35', '39', 'INV00064'),
('65', '7', '49', '28', '1657600.0', '2021-04-01 12:10:03', '84', 'INV00065'),
('66', '4', '27', '39', '261000.0', '2021-04-03 03:27:04', '27', 'INV00066'),
('67', '8', '44', '49', '1056410.0', '2021-04-04 18:08:09', '42', 'INV00067'),
('68', '7', '46', '46', '1619200.0', '2021-04-04 22:44:58', '2', 'INV00068'),
('69', '2', '32', '36', '2812400.0', '2021-04-05 17:50:44', '29', 'INV00069'),
('70', '2', '12', '43', '1287700.0', '2021-04-06 06:22:27', '52', 'INV00070'),
('71', '9', '30', '42', '480000.0', '2021-04-06 23:51:55', '33', 'INV00071'),
('72', '7', '10', '30', '416000.0', '2021-04-07 07:48:57', '36', 'INV00072'),
('73', '8', '22', '40', '551300.0', '2021-04-09 06:43:24', '57', 'INV00073'),
('74', '10', '37', '8', '590920.0', '2021-04-09 08:08:56', '74', 'INV00074'),
('75', '4', '7', '2', '55500.0', '2021-04-10 17:48:46', '10', 'INV00075'),
('76', '7', '33', '45', '1200000.0', '2021-04-12 01:24:37', '56', 'INV00076'),
('77', '10', '9', '34', '169060.0', '2021-04-12 19:07:31', '36', 'INV00077'),
('78', '8', '10', '32', '271180.0', '2021-04-13 01:15:32', '42', 'INV00078'),
('79', '6', '27', '20', '542500.0', '2021-04-15 08:58:32', '61', 'INV00079'),
('80', '4', '2', '28', '57000.0', '2021-04-16 12:26:42', '96', 'INV00080'),
('81', '9', '27', '20', '387500.0', '2021-04-16 21:55:25', '11', 'INV00081'),
('82', '8', '34', '3', '764370.0', '2021-04-17 20:33:32', '40', 'INV00082'),
('83', '4', '50', '48', '447000.0', '2021-04-19 07:40:18', '8', 'INV00083'),
('84', '7', '36', '43', '1289600.0', '2021-04-19 20:16:42', '100', 'INV00084'),
('85', '2', '21', '29', '1888100.0', '2021-04-20 12:32:46', '4', 'INV00085'),
('86', '3', '44', '47', '2025000.0', '2021-04-21 13:45:14', '15', 'INV00086'),
('87', '3', '49', '8', '1590000.0', '2021-04-22 12:22:08', '26', 'INV00087'),
('88', '5', '38', '48', '599760.0', '2021-04-23 04:12:20', '94', 'INV00088'),
('89', '5', '26', '19', '393890.0', '2021-04-23 19:23:45', '1', 'INV00089'),
('90', '6', '25', '18', '500500.0', '2021-04-29 01:50:18', '92', 'INV00090'),
('91', '5', '22', '48', '371280.0', '2021-04-30 03:23:33', '15', 'INV00091'),
('92', '7', '24', '33', '873600.0', '2021-05-01 03:40:48', '43', 'INV00092'),
('93', '6', '44', '15', '822500.0', '2021-05-02 06:08:50', '87', 'INV00093'),
('94', '7', '13', '39', '540800.0', '2021-05-02 06:19:03', '90', 'INV00094'),
('95', '10', '20', '6', '320740.0', '2021-05-02 09:54:08', '76', 'INV00095'),
('96', '1', '18', '36', '923400.0', '2021-05-03 17:31:22', '8', 'INV00096'),
('97', '3', '5', '18', '420000.0', '2021-05-07 04:05:42', '16', 'INV00097'),
('98', '5', '39', '22', '583100.0', '2021-05-07 09:03:49', '41', 'INV00098'),
('99', '10', '15', '39', '267810.0', '2021-05-07 12:43:36', '82', 'INV00099'),
('100', '1', '24', '11', '1160900.0', '2021-05-09 16:15:57', '38', 'INV000100'),
('101', '7', '15', '35', '592000.0', '2021-05-09 19:33:29', '63', 'INV00101'),
('102', '3', '7', '30', '660000.0', '2021-05-11 06:48:22', '27', 'INV00102'),
('103', '8', '19', '0', '424650.0', '2021-05-11 14:24:53', '91', 'INV00103'),
('104', '7', '31', '16', '1043200.0', '2021-05-12 06:58:26', '89', 'INV00104'),
('105', '2', '35', '30', '3002000.0', '2021-05-15 06:50:20', '73', 'INV00105'),
('106', '6', '37', '39', '784000.0', '2021-05-15 16:41:04', '18', 'INV00106'),
('107', '1', '35', '40', '1738500.0', '2021-05-15 23:35:18', '68', 'INV00107'),
('108', '2', '15', '20', '1343000.0', '2021-05-18 23:20:26', '16', 'INV00108'),
('109', '8', '11', '23', '280120.0', '2021-05-19 05:31:28', '32', 'INV00109'),
('110', '6', '17', '42', '444500.0', '2021-05-21 02:51:30', '62', 'INV00110'),
('111', '10', '47', '12', '752080.0', '2021-05-21 03:06:23', '16', 'INV00111'),
('112', '10', '15', '23', '255170.0', '2021-05-21 13:15:25', '73', 'INV00112'),
('113', '9', '48', '32', '680000.0', '2021-05-22 08:52:37', '1', 'INV00113'),
('114', '5', '29', '2', '416500.0', '2021-05-23 03:50:57', '76', 'INV00114'),
('115', '2', '23', '46', '2180400.0', '2021-05-24 08:50:41', '55', 'INV00115'),
('116', '7', '22', '32', '806400.0', '2021-05-27 02:06:08', '92', 'INV00116'),
('117', '8', '7', '48', '227970.0', '2021-05-28 16:13:38', '4', 'INV00117'),
('118', '7', '37', '48', '1337600.0', '2021-05-30 07:11:56', '8', 'INV00118'),
('119', '5', '5', '29', '105910.0', '2021-05-31 23:50:43', '73', 'INV00119'),
('120', '1', '29', '31', '1436400.0', '2021-06-04 12:47:40', '92', 'INV00120'),
('121', '6', '23', '41', '546000.0', '2021-06-04 16:33:40', '25', 'INV00121'),
('122', '1', '39', '38', '1924700.0', '2021-06-05 15:22:14', '6', 'INV00122'),
('123', '4', '30', '28', '267000.0', '2021-06-08 05:27:04', '53', 'INV00123'),
('124', '10', '46', '5', '730750.0', '2021-06-09 04:09:47', '57', 'INV00124'),
('125', '4', '9', '26', '106500.0', '2021-06-10 08:35:12', '19', 'INV00125'),
('126', '2', '18', '27', '1635300.0', '2021-06-12 04:16:26', '31', 'INV00126'),
('127', '4', '24', '26', '219000.0', '2021-06-12 18:31:49', '49', 'INV00127'),
('128', '5', '23', '4', '333200.0', '2021-06-13 03:03:35', '16', 'INV00128'),
('129', '6', '42', '44', '889000.0', '2021-06-13 19:14:04', '29', 'INV00129'),
('130', '6', '32', '1', '563500.0', '2021-06-16 20:28:20', '54', 'INV00130'),
('131', '9', '2', '49', '147500.0', '2021-06-18 15:45:23', '59', 'INV00131'),
('132', '2', '18', '7', '1477300.0', '2021-06-20 08:03:07', '44', 'INV00132'),
('133', '4', '3', '23', '57000.0', '2021-06-21 03:56:06', '19', 'INV00133'),
('134', '5', '42', '3', '603330.0', '2021-06-23 07:28:07', '61', 'INV00134'),
('135', '9', '50', '2', '630000.0', '2021-06-23 09:37:24', '93', 'INV00135'),
('136', '10', '12', '35', '217250.0', '2021-06-23 16:44:20', '30', 'INV00136'),
('137', '6', '18', '1', '318500.0', '2021-06-26 08:19:43', '86', 'INV00137'),
('138', '3', '26', '10', '930000.0', '2021-06-27 07:35:51', '27', 'INV00138'),
('139', '7', '25', '3', '809600.0', '2021-06-27 12:55:46', '84', 'INV00139'),
('140', '7', '42', '28', '1433600.0', '2021-06-28 17:56:50', '14', 'INV00140'),
('141', '3', '24', '8', '840000.0', '2021-06-30 23:00:51', '68', 'INV00141'),
('142', '2', '5', '46', '758400.0', '2021-07-06 20:19:11', '62', 'INV00142'),
('143', '8', '22', '33', '540870.0', '2021-07-08 02:30:38', '30', 'INV00143'),
('144', '6', '23', '41', '546000.0', '2021-07-09 00:22:07', '53', 'INV00144'),
('145', '6', '21', '46', '528500.0', '2021-07-09 11:17:38', '15', 'INV00145'),
('146', '6', '18', '47', '479500.0', '2021-07-09 14:39:57', '14', 'INV00146'),
('147', '5', '48', '49', '743750.0', '2021-07-10 09:03:43', '61', 'INV00147'),
('148', '6', '17', '9', '329000.0', '2021-07-11 04:42:11', '81', 'INV00148'),
('149', '10', '10', '43', '191970.0', '2021-07-14 15:07:59', '87', 'INV00149'),
('150', '2', '22', '6', '1785400.0', '2021-07-15 21:12:30', '95', 'INV00150'),
('151', '4', '26', '40', '255000.0', '2021-07-15 23:31:21', '85', 'INV00151'),
('152', '6', '30', '46', '686000.0', '2021-07-17 06:17:32', '67', 'INV00152'),
('153', '5', '47', '15', '689010.0', '2021-07-18 05:27:09', '57', 'INV00153'),
('154', '2', '32', '43', '2867700.0', '2021-07-22 18:32:51', '59', 'INV00154'),
('155', '1', '3', '33', '205200.0', '2021-07-23 04:06:28', '63', 'INV00155'),
('156', '8', '22', '19', '520010.0', '2021-07-25 02:39:33', '44', 'INV00156'),
('157', '10', '17', '45', '304150.0', '2021-07-25 22:52:37', '5', 'INV00157'),
('158', '7', '7', '23', '297600.0', '2021-07-26 09:47:33', '60', 'INV00158'),
('159', '2', '36', '37', '3136300.0', '2021-07-26 13:29:25', '42', 'INV00159'),
('160', '10', '16', '22', '270180.0', '2021-07-26 20:03:11', '69', 'INV00160'),
('161', '2', '29', '45', '2646500.0', '2021-07-27 05:58:02', '22', 'INV00161'),
('162', '8', '35', '14', '803110.0', '2021-07-28 05:12:44', '21', 'INV00162'),
('163', '9', '32', '21', '452500.0', '2021-07-29 14:02:26', '54', 'INV00163'),
('164', '1', '23', '32', '1153300.0', '2021-07-29 22:00:34', '90', 'INV00164'),
('165', '2', '37', '33', '3183700.0', '2021-07-30 21:51:32', '50', 'INV00165'),
('166', '10', '16', '4', '255960.0', '2021-08-01 18:48:22', '79', 'INV00166'),
('167', '9', '35', '8', '457500.0', '2021-08-05 23:24:07', '74', 'INV00167'),
('168', '3', '49', '39', '2055000.0', '2021-08-06 03:46:49', '8', 'INV00168'),
('169', '10', '10', '46', '194340.0', '2021-08-10 19:32:48', '47', 'INV00169'),
('170', '5', '36', '10', '525980.0', '2021-08-13 11:07:59', '45', 'INV00170'),
('171', '1', '48', '26', '2329400.0', '2021-08-13 23:14:42', '27', 'INV00171'),
('172', '7', '34', '29', '1180800.0', '2021-08-14 02:04:05', '35', 'INV00172'),
('173', '8', '6', '25', '171350.0', '2021-08-16 19:52:39', '65', 'INV00173'),
('174', '7', '29', '42', '1062400.0', '2021-08-19 11:00:30', '87', 'INV00174'),
('175', '9', '41', '12', '542500.0', '2021-08-20 01:43:23', '20', 'INV00175'),
('176', '6', '22', '31', '493500.0', '2021-08-21 02:14:38', '11', 'INV00176'),
('177', '5', '2', '36', '71400.0', '2021-08-23 17:54:48', '66', 'INV00177'),
('178', '2', '6', '39', '782100.0', '2021-08-23 21:42:12', '97', 'INV00178'),
('179', '9', '20', '8', '270000.0', '2021-08-25 23:29:26', '9', 'INV00179'),
('180', '2', '17', '7', '1398300.0', '2021-08-26 13:17:08', '31', 'INV00180'),
('181', '10', '38', '34', '627260.0', '2021-08-27 03:36:21', '41', 'INV00181'),
('182', '2', '6', '15', '592500.0', '2021-08-27 04:42:10', '60', 'INV00182'),
('183', '10', '32', '47', '542730.0', '2021-08-28 04:22:54', '54', 'INV00183'),
('184', '4', '17', '30', '172500.0', '2021-08-29 00:11:23', '95', 'INV00184'),
('185', '7', '30', '23', '1033600.0', '2021-08-30 00:19:39', '7', 'INV00185'),
('186', '8', '24', '34', '587060.0', '2021-08-30 23:11:03', '63', 'INV00186'),
('187', '4', '42', '36', '369000.0', '2021-09-01 15:35:04', '76', 'INV00187'),
('188', '10', '14', '25', '240950.0', '2021-09-03 03:12:30', '94', 'INV00188'),
('189', '8', '36', '49', '877610.0', '2021-09-03 13:43:47', '29', 'INV00189'),
('190', '4', '4', '50', '105000.0', '2021-09-03 14:20:44', '49', 'INV00190'),
('191', '1', '29', '4', '1385100.0', '2021-09-04 12:39:43', '41', 'INV00191'),
('192', '10', '39', '38', '646220.0', '2021-09-04 23:01:21', '50', 'INV00192'),
('193', '1', '48', '23', '2323700.0', '2021-09-05 05:16:27', '12', 'INV00193'),
('194', '2', '44', '49', '3863100.0', '2021-09-05 15:39:31', '59', 'INV00194'),
('195', '6', '15', '39', '399000.0', '2021-09-06 15:19:03', '18', 'INV00195'),
('196', '2', '8', '8', '695200.0', '2021-09-07 02:59:40', '45', 'INV00196'),
('197', '5', '20', '44', '337960.0', '2021-09-07 14:06:29', '40', 'INV00197'),
('198', '10', '3', '15', '59250.0', '2021-09-10 14:59:02', '46', 'INV00198'),
('199', '1', '45', '15', '2166000.0', '2021-09-13 10:26:19', '62', 'INV00199'),
('200', '6', '4', '16', '126000.0', '2021-09-14 11:23:52', '53', 'INV00200'),
('201', '4', '19', '42', '205500.0', '2021-09-15 15:39:53', '94', 'INV00201'),
('202', '2', '35', '28', '2986200.0', '2021-09-15 19:47:17', '38', 'INV00202'),
('203', '9', '17', '35', '300000.0', '2021-09-18 22:58:53', '54', 'INV00203'),
('204', '1', '36', '41', '1787900.0', '2021-09-19 02:13:24', '64', 'INV00204'),
('205', '6', '2', '40', '175000.0', '2021-09-22 22:48:09', '64', 'INV00205'),
('206', '8', '39', '10', '886550.0', '2021-09-28 23:25:37', '95', 'INV00206'),
('207', '8', '36', '27', '844830.0', '2021-09-29 02:54:29', '28', 'INV00207'),
('208', '7', '12', '37', '502400.0', '2021-09-29 10:27:14', '99', 'INV00208'),
('209', '3', '2', '37', '615000.0', '2021-10-01 08:41:34', '1', 'INV00209'),
('210', '6', '8', '37', '269500.0', '2021-10-03 00:19:08', '93', 'INV00210'),
('211', '1', '49', '10', '2346500.0', '2021-10-04 13:08:48', '42', 'INV00211'),
('212', '3', '45', '50', '2100000.0', '2021-10-05 07:40:23', '96', 'INV00212'),
('213', '1', '31', '19', '1508600.0', '2021-10-05 09:35:50', '49', 'INV00213'),
('214', '1', '11', '7', '535800.0', '2021-10-05 23:48:39', '59', 'INV00214'),
('215', '9', '9', '18', '157500.0', '2021-10-06 19:49:06', '48', 'INV00215'),
('216', '4', '12', '8', '102000.0', '2021-10-08 01:35:43', '51', 'INV00216'),
('217', '1', '41', '17', '1979800.0', '2021-10-12 05:33:28', '94', 'INV00217'),
('218', '2', '42', '41', '3641900.0', '2021-10-13 03:20:56', '94', 'INV00218'),
('219', '8', '7', '27', '196680.0', '2021-10-15 08:59:25', '25', 'INV00219'),
('220', '1', '16', '35', '826500.0', '2021-10-17 00:40:35', '23', 'INV00220'),
('221', '3', '8', '38', '810000.0', '2021-10-18 03:04:14', '54', 'INV00221'),
('222', '7', '25', '9', '828800.0', '2021-10-18 16:01:20', '71', 'INV00222'),
('223', '3', '44', '33', '1815000.0', '2021-10-18 23:12:52', '25', 'INV00223'),
('224', '9', '43', '24', '597500.0', '2021-10-21 04:00:23', '36', 'INV00224'),
('225', '6', '22', '34', '504000.0', '2021-10-21 08:01:45', '60', 'INV00225'),
('226', '4', '30', '38', '282000.0', '2021-10-22 12:29:09', '78', 'INV00226'),
('227', '7', '14', '38', '569600.0', '2021-10-22 23:20:39', '86', 'INV00227'),
('228', '5', '19', '41', '320110.0', '2021-10-24 06:06:56', '63', 'INV00228'),
('229', '10', '2', '9', '38710.0', '2021-10-25 09:28:08', '20', 'INV00229'),
('230', '9', '48', '4', '610000.0', '2021-10-27 06:09:36', '100', 'INV00230'),
('231', '5', '43', '12', '628320.0', '2021-10-27 06:17:07', '57', 'INV00231'),
('232', '1', '26', '49', '1328100.0', '2021-10-28 04:15:41', '36', 'INV00232'),
('233', '8', '38', '45', '916350.0', '2021-11-01 04:40:37', '66', 'INV00233'),
('234', '7', '47', '1', '1507200.0', '2021-11-02 19:36:05', '26', 'INV00234'),
('235', '3', '40', '39', '1785000.0', '2021-11-02 22:22:04', '72', 'INV00235'),
('236', '7', '29', '18', '985600.0', '2021-11-03 12:17:29', '84', 'INV00236'),
('237', '6', '8', '0', '140000.0', '2021-11-03 17:41:21', '89', 'INV00237'),
('238', '6', '2', '6', '56000.0', '2021-11-03 19:20:33', '19', 'INV00238'),
('239', '3', '15', '19', '735000.0', '2021-11-04 17:43:45', '47', 'INV00239'),
('240', '9', '40', '34', '585000.0', '2021-11-07 12:08:10', '63', 'INV00240'),
('241', '4', '47', '47', '423000.0', '2021-11-10 14:34:28', '84', 'INV00241'),
('242', '5', '33', '31', '508130.0', '2021-11-12 07:32:31', '8', 'INV00242'),
('243', '6', '7', '43', '273000.0', '2021-11-12 22:11:42', '82', 'INV00243'),
('244', '7', '20', '1', '643200.0', '2021-11-13 14:56:30', '40', 'INV00244'),
('245', '6', '32', '32', '672000.0', '2021-11-13 20:16:41', '50', 'INV00245'),
('246', '3', '21', '3', '675000.0', '2021-11-14 15:03:10', '1', 'INV00246'),
('247', '2', '10', '42', '1121800.0', '2021-11-17 22:20:47', '31', 'INV00247'),
('248', '6', '5', '26', '178500.0', '2021-11-18 23:05:35', '36', 'INV00248'),
('249', '3', '43', '30', '1740000.0', '2021-11-25 18:20:16', '56', 'INV00249'),
('250', '5', '21', '41', '348670.0', '2021-11-25 23:10:49', '87', 'INV00250'),
('251', '7', '11', '23', '425600.0', '2021-11-26 16:18:57', '91', 'INV00251'),
('252', '8', '40', '23', '928270.0', '2021-11-30 05:54:39', '18', 'INV00252'),
('253', '2', '19', '13', '1603700.0', '2021-11-30 16:50:11', '91', 'INV00253'),
('254', '2', '2', '50', '553000.0', '2021-12-01 09:30:19', '39', 'INV00254'),
('255', '2', '30', '18', '2512200.0', '2021-12-01 18:11:53', '34', 'INV00255'),
('256', '7', '50', '34', '1708800.0', '2021-12-01 20:20:00', '32', 'INV00256'),
('257', '1', '35', '39', '1736600.0', '2021-12-02 08:24:04', '39', 'INV00257'),
('258', '1', '26', '46', '1322400.0', '2021-12-02 18:32:06', '98', 'INV00258'),
('259', '2', '26', '8', '2117200.0', '2021-12-03 12:44:19', '45', 'INV00259'),
('260', '5', '28', '34', '440300.0', '2021-12-04 03:37:20', '44', 'INV00260'),
('261', '7', '16', '11', '547200.0', '2021-12-04 09:10:15', '13', 'INV00261'),
('262', '9', '39', '28', '557500.0', '2021-12-05 08:12:38', '5', 'INV00262'),
('263', '9', '4', '44', '160000.0', '2021-12-06 12:07:41', '55', 'INV00263'),
('264', '10', '19', '46', '336540.0', '2021-12-06 13:48:07', '50', 'INV00264'),
('265', '8', '17', '24', '415710.0', '2021-12-06 22:55:33', '95', 'INV00265'),
('266', '9', '8', '39', '197500.0', '2021-12-08 02:27:54', '25', 'INV00266'),
('267', '8', '32', '12', '733080.0', '2021-12-12 08:23:26', '46', 'INV00267'),
('268', '5', '33', '12', '485520.0', '2021-12-14 22:56:21', '14', 'INV00268'),
('269', '10', '29', '46', '494540.0', '2021-12-15 18:29:21', '22', 'INV00269'),
('270', '3', '20', '23', '945000.0', '2021-12-16 19:01:32', '88', 'INV00270'),
('271', '8', '3', '28', '108770.0', '2021-12-18 19:35:58', '65', 'INV00271'),
('272', '5', '4', '44', '109480.0', '2021-12-23 20:25:07', '65', 'INV00272'),
('273', '6', '37', '43', '798000.0', '2021-12-24 07:54:12', '52', 'INV00273'),
('274', '7', '34', '15', '1136000.0', '2021-12-24 23:32:49', '98', 'INV00274'),
('275', '7', '14', '33', '553600.0', '2021-12-25 22:08:26', '69', 'INV00275'),
('276', '3', '18', '9', '675000.0', '2021-12-27 04:01:49', '61', 'INV00276'),
('277', '1', '27', '10', '1301500.0', '2021-12-30 18:11:43', '46', 'INV00277'),
('278', '10', '14', '14', '232260.0', '2021-12-31 06:29:03', '26', 'INV00278'),
('279', '3', '45', '35', '1875000.0', '2022-01-01 20:36:18', '31', 'INV00279'),
('280', '1', '23', '50', '1187500.0', '2022-01-03 00:12:50', '51', 'INV00280'),
('281', '9', '2', '9', '47500.0', '2022-01-07 01:27:58', '48', 'INV00281'),
('282', '6', '35', '41', '756000.0', '2022-01-10 02:54:14', '4', 'INV00282'),
('283', '4', '47', '10', '367500.0', '2022-01-10 04:54:16', '5', 'INV00283'),
('284', '4', '44', '45', '397500.0', '2022-01-13 22:12:19', '78', 'INV00284'),
('285', '9', '7', '0', '87500.0', '2022-01-15 07:51:41', '90', 'INV00285'),
('286', '9', '23', '19', '335000.0', '2022-01-15 10:09:39', '33', 'INV00286'),
('287', '10', '21', '29', '354710.0', '2022-01-15 11:16:53', '7', 'INV00287'),
('288', '8', '4', '17', '114730.0', '2022-01-15 13:23:12', '29', 'INV00288'),
('289', '5', '11', '45', '210630.0', '2022-01-16 13:08:46', '55', 'INV00289'),
('290', '7', '24', '28', '857600.0', '2022-01-17 22:42:30', '95', 'INV00290'),
('291', '8', '9', '5', '208600.0', '2022-01-17 23:35:11', '58', 'INV00291'),
('292', '9', '36', '21', '502500.0', '2022-01-18 04:17:36', '73', 'INV00292'),
('293', '3', '49', '27', '1875000.0', '2022-01-19 16:06:19', '21', 'INV00293'),
('294', '4', '32', '26', '279000.0', '2022-01-20 00:16:08', '30', 'INV00294'),
('295', '1', '32', '25', '1567500.0', '2022-01-22 07:38:37', '66', 'INV00295'),
('296', '1', '8', '31', '438900.0', '2022-01-25 21:05:46', '4', 'INV00296'),
('297', '3', '33', '13', '1185000.0', '2022-02-05 19:31:43', '14', 'INV00297'),
('298', '10', '6', '25', '114550.0', '2022-02-06 05:06:29', '74', 'INV00298'),
('299', '6', '46', '43', '955500.0', '2022-02-08 20:38:48', '85', 'INV00299'),
('300', '8', '45', '4', '1011710.0', '2022-02-08 20:55:27', '92', 'INV00300'),
('301', '10', '3', '30', '71100.0', '2022-02-09 07:22:53', '22', 'INV00301'),
('302', '1', '13', '8', '632700.0', '2022-02-12 17:47:51', '25', 'INV00302'),
('303', '3', '32', '6', '1050000.0', '2022-02-13 15:36:17', '78', 'INV00303'),
('304', '4', '4', '49', '103500.0', '2022-02-14 15:32:55', '63', 'INV00304'),
('305', '8', '12', '12', '286080.0', '2022-02-14 23:53:52', '70', 'INV00305'),
('306', '8', '18', '7', '412730.0', '2022-02-17 10:15:04', '29', 'INV00306'),
('307', '4', '4', '9', '43500.0', '2022-02-18 08:57:59', '69', 'INV00307'),
('308', '8', '7', '27', '196680.0', '2022-02-21 10:14:48', '18', 'INV00308'),
('309', '1', '15', '40', '788500.0', '2022-02-21 16:55:49', '55', 'INV00309'),
('310', '5', '26', '39', '417690.0', '2022-02-22 21:36:28', '83', 'INV00310'),
('311', '4', '15', '16', '136500.0', '2022-02-24 05:04:32', '31', 'INV00311'),
('312', '1', '24', '17', '1172300.0', '2022-02-28 09:09:39', '94', 'INV00312'),
('313', '3', '43', '39', '1875000.0', '2022-02-28 11:10:29', '23', 'INV00313'),
